"OHAROCDT.Code.or.Value","OHAROCDT.Value.Description","OHAROCDT.Count","OHAROCDT.Cumulative","OHAROCDT.Skip.to.Item"
"1","Yes",2312,2312,NA
"2","No",13,2325,NA
".","Missing",7097,9422,NA
