"RFXT060.Code.or.Value","RFXT060.Value.Description","RFXT060.Count","RFXT060.Cumulative","RFXT060.Skip.to.Item"
"513 to 522","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
