"DXDRALE.Code.or.Value","DXDRALE.Value.Description","DXDRALE.Count","DXDRALE.Cumulative","DXDRALE.Skip.to.Item"
"614.7 to 7790.2","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
