"DR2IATOA.Code.or.Value","DR2IATOA.Value.Description","DR2IATOA.Count","DR2IATOA.Cumulative","DR2IATOA.Skip.to.Item"
"0 to 87.8","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
