"SXD101.Code.or.Value","SXD101.Value.Description","SXD101.Count","SXD101.Cumulative","SXD101.Skip.to.Item"
"0 to 500","Range of Values",2321,2321,NA
"2000","2000 or more",0,2321,NA
"77777","Refused",14,2335,NA
"99999","Don't know",4,2339,NA
".","Missing",2718,5057,NA
