"PAQ759g.Code.or.Value","PAQ759g.Value.Description","PAQ759g.Count","PAQ759g.Cumulative","PAQ759g.Skip.to.Item"
"7","GYMNASTICS",47,47,NA
".","Missing",9208,9255,NA
