"WBXA040.Code.or.Value","WBXA040.Value.Description","WBXA040.Count","WBXA040.Cumulative","WBXA040.Skip.to.Item"
"-1.5756 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
