"SMQ665C.Code.or.Value","SMQ665C.Value.Description","SMQ665C.Count","SMQ665C.Cumulative","SMQ665C.Skip.to.Item"
"1","NEWPORT",9,9,"SMQ670"
"2","NEWPORT MENTHOL GOLD",0,9,"SMQ670"
"3","OTHER NEWPORT",0,9,"SMQ670"
"77","Refused",0,9,"SMQ670"
"99","Don't know",0,9,"SMQ670"
".","Missing",7159,7168,""
