"DSQTPHOS.Code.or.Value","DSQTPHOS.Value.Description","DSQTPHOS.Count","DSQTPHOS.Cumulative","DSQTPHOS.Skip.to.Item"
"0.67 to 1200","Range of Values",779,779,NA
".","Missing",8475,9254,NA
