"URD24DLC.Code.or.Value","URD24DLC.Value.Description","URD24DLC.Count","URD24DLC.Cumulative","URD24DLC.Skip.to.Item"
"0","detectable result",1109,1109,NA
"1","below detectable limit",868,1977,NA
".","Missing",148,2125,NA
