"DS1TCARB.Code.or.Value","DS1TCARB.Value.Description","DS1TCARB.Count","DS1TCARB.Cumulative","DS1TCARB.Skip.to.Item"
"0.06 to 42","Range of Values",830,830,NA
".","Missing",8508,9338,NA
