"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.28 to 649.1","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
