"URDUHGLC.Code.or.Value","URDUHGLC.Value.Description","URDUHGLC.Count","URDUHGLC.Cumulative","URDUHGLC.Skip.to.Item"
"0","At or above the detection limit",1282,1282,NA
"1","Below lower detection limit",1798,3080,NA
".","Missing",199,3279,NA
