"DR1TATOC.Code.or.Value","DR1TATOC.Value.Description","DR1TATOC.Count","DR1TATOC.Cumulative","DR1TATOC.Skip.to.Item"
"0.02 to 79.71","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
