"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"3.7 to 94.5","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
