"DUQ310U.Code.or.Value","DUQ310U.Value.Description","DUQ310U.Count","DUQ310U.Cumulative","DUQ310U.Skip.to.Item"
"1","Days",7,7,NA
"2","Weeks",0,7,NA
"3","Months",8,15,NA
"4","Years",64,79,NA
"7","Refused",0,79,NA
"9","Don't know",0,79,NA
".","Missing",3206,3285,NA
