"HCQ126E.Code.or.Value","HCQ126E.Value.Description","HCQ126E.Count","HCQ126E.Cumulative","HCQ126E.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",3,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",74,78,NA
