"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"1.556 to 112.5","Range of Values",299,299,NA
".","Missing",2,301,NA
