"DS1ANCNT.Code.or.Value","DS1ANCNT.Value.Description","DS1ANCNT.Count","DS1ANCNT.Cumulative","DS1ANCNT.Skip.to.Item"
"0 to 2","Range of Values",9255,9255,NA
".","Missing",507,9762,NA
