"DXXHEBMC.Code.or.Value","DXXHEBMC.Value.Description","DXXHEBMC.Count","DXXHEBMC.Cumulative","DXXHEBMC.Skip.to.Item"
"189.78 to 852.99","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
