"LBDNFOAL.Code.or.Value","LBDNFOAL.Value.Description","LBDNFOAL.Count","LBDNFOAL.Cumulative","LBDNFOAL.Skip.to.Item"
"0","At or above the detection limit",1977,1977,NA
"1","Below lower detection limit",16,1993,NA
".","Missing",177,2170,NA
