"LBCPCB.Code.or.Value","LBCPCB.Value.Description","LBCPCB.Count","LBCPCB.Cumulative","LBCPCB.Skip.to.Item"
"17.7 to 1270","Range of Values",246,246,NA
".","Missing",1,247,NA
