"WTSTH2YR.Code.or.Value","WTSTH2YR.Value.Description","WTSTH2YR.Count","WTSTH2YR.Cumulative","WTSTH2YR.Skip.to.Item"
"4335.5451191 to 935505.32656","Range of Values",2051,2051,NA
"0","Non-Respondent",225,2276,NA
".","Missing",0,2276,NA
