"LBXSASSI.Code.or.Value","LBXSASSI.Value.Description","LBXSASSI.Count","LBXSASSI.Cumulative","LBXSASSI.Skip.to.Item"
"7 to 827","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
