"BMIHEAD.Code.or.Value","BMIHEAD.Value.Description","BMIHEAD.Count","BMIHEAD.Cumulative","BMIHEAD.Skip.to.Item"
"1","Could not obtain",3,3,NA
"2","Exceeds capacity",0,3,NA
"3","Not straight",0,3,NA
".","Missing",10474,10477,NA
