"AUXRR203.Code.or.Value","AUXRR203.Value.Description","AUXRR203.Count","AUXRR203.Cumulative","AUXRR203.Skip.to.Item"
"-65 to 61","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
