"TYXP217.Code.or.Value","TYXP217.Value.Description","TYXP217.Count","TYXP217.Cumulative","TYXP217.Skip.to.Item"
"-297 to -22","Range of Values",365,365,NA
".","Missing",8104,8469,NA
