"URDUMNLC.Code.or.Value","URDUMNLC.Value.Description","URDUMNLC.Count","URDUMNLC.Cumulative","URDUMNLC.Skip.to.Item"
"0","At or above the detection limit",716,716,NA
"1","Below lower detection limit",1812,2528,NA
".","Missing",77,2605,NA
