"LBXODT.Code.or.Value","LBXODT.Value.Description","LBXODT.Count","LBXODT.Cumulative","LBXODT.Skip.to.Item"
"0.021 to 0.701","Range of Values",1669,1669,NA
".","Missing",605,2274,NA
