"AUDTYR63.Code.or.Value","AUDTYR63.Value.Description","AUDTYR63.Count","AUDTYR63.Cumulative","AUDTYR63.Skip.to.Item"
"0 to 1.38","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
