"DMDHRBR4.Code.or.Value","DMDHRBR4.Value.Description","DMDHRBR4.Count","DMDHRBR4.Cumulative","DMDHRBR4.Skip.to.Item"
"1","Born in 50 US states or Washington, DC",6894,6894,NA
"2","Others",2972,9866,NA
"77","Refused",12,9878,NA
"99","Don't Know",0,9878,NA
".","Missing",297,10175,NA
