"DS2DS.Code.or.Value","DS2DS.Value.Description","DS2DS.Count","DS2DS.Cumulative","DS2DS.Skip.to.Item"
"1","Yes",2570,2570,NA
"2","No",5265,7835,NA
"7","Refused",0,7835,NA
"9","Don't know",0,7835,NA
".","Missing",1927,9762,NA
