"AGQ030.Code.or.Value","AGQ030.Value.Description","AGQ030.Count","AGQ030.Cumulative","AGQ030.Skip.to.Item"
"1","Yes",1269,1269,NA
"2","No",8071,9340,NA
"7","Refused",1,9341,NA
"9","Don't know",22,9363,NA
".","Missing",1,9364,NA
