"RHQ166.Code.or.Value","RHQ166.Value.Description","RHQ166.Count","RHQ166.Cumulative","RHQ166.Skip.to.Item"
"0 to 13","Range of Values",2176,2176,NA
"77","Refused",0,2176,NA
"99","Don't know",0,2176,NA
".","Missing",1442,3618,NA
