"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8551,8551,NA
"2","Spanish",1205,9756,NA
".","Missing",0,9756,NA
