"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"2.7 to 83.2","Range of Values",7944,7944,NA
".","Missing",1012,8956,NA
