"MPQ120ae.Code.or.Value","MPQ120ae.Value.Description","MPQ120ae.Count","MPQ120ae.Cumulative","MPQ120ae.Skip.to.Item"
"40","Foot - right",138,138,NA
".","Missing",5273,5411,NA
