"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 65","Range of Values",1137,1137,NA
"666","No response",0,1137,NA
"888","Could not obtain",4,1141,NA
".","Missing",69,1210,NA
