"DR1TS100.Code.or.Value","DR1TS100.Value.Description","DR1TS100.Count","DR1TS100.Cumulative","DR1TS100.Skip.to.Item"
"0 to 13.213","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
