"OPX2ODFP.Code.or.Value","OPX2ODFP.Value.Description","OPX2ODFP.Count","OPX2ODFP.Cumulative","OPX2ODFP.Skip.to.Item"
"0","Test not performed",15,15,NA
"1","0/3",2215,2230,NA
"2","1/3",232,2462,NA
"3","2/3",30,2492,NA
"4","3/3",7,2499,NA
".","Missing",435,2934,NA
