"RFXT167.Code.or.Value","RFXT167.Value.Description","RFXT167.Count","RFXT167.Cumulative","RFXT167.Skip.to.Item"
"1459 to 1468","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
