"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"17.7 to 1043.1","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
