"LBDRFO.Code.or.Value","LBDRFO.Value.Description","LBDRFO.Count","LBDRFO.Cumulative","LBDRFO.Skip.to.Item"
"50.3 to 2980","Range of Values",8460,8460,NA
".","Missing",962,9422,NA
