"DR2_330Z.Code.or.Value","DR2_330Z.Value.Description","DR2_330Z.Count","DR2_330Z.Cumulative","DR2_330Z.Skip.to.Item"
"0 to 8591.25","Range of Values",8406,8406,NA
".","Missing",1847,10253,NA
