"DS2IPROT.Code.or.Value","DS2IPROT.Value.Description","DS2IPROT.Count","DS2IPROT.Cumulative","DS2IPROT.Skip.to.Item"
"0.0105 to 53.4","Range of Values",212,212,NA
".","Missing",5436,5648,NA
