"AUXRR271.Code.or.Value","AUXRR271.Value.Description","AUXRR271.Count","AUXRR271.Cumulative","AUXRR271.Skip.to.Item"
"-19 to 77","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
