"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.0004 to 260","Range of Values",1146,1146,NA
".","Missing",4577,5723,NA
