"LBDFOL.Code.or.Value","LBDFOL.Value.Description","LBDFOL.Count","LBDFOL.Cumulative","LBDFOL.Skip.to.Item"
"2.2 to 209.3","Range of Values",8205,8205,NA
".","Missing",1102,9307,NA
