"DS1IVB2.Code.or.Value","DS1IVB2.Value.Description","DS1IVB2.Count","DS1IVB2.Cumulative","DS1IVB2.Skip.to.Item"
"0.002 to 200","Range of Values",1379,1379,NA
".","Missing",4315,5694,NA
