"BPXSY2.Code.or.Value","BPXSY2.Value.Description","BPXSY2.Count","BPXSY2.Cumulative","BPXSY2.Skip.to.Item"
"74 to 234","Range of Values",6908,6908,NA
".","Missing",2430,9338,NA
