"MCQ170m.Code.or.Value","MCQ170m.Value.Description","MCQ170m.Count","MCQ170m.Cumulative","MCQ170m.Skip.to.Item"
"1","Yes",473,473,NA
"2","No",120,593,NA
"7","Refused",0,593,NA
"9","Don't know",29,622,NA
".","Missing",8953,9575,NA
