"AUXLR115.Code.or.Value","AUXLR115.Value.Description","AUXLR115.Count","AUXLR115.Cumulative","AUXLR115.Skip.to.Item"
"-73 to 44","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
