"DR2TFDFE.Code.or.Value","DR2TFDFE.Value.Description","DR2TFDFE.Count","DR2TFDFE.Cumulative","DR2TFDFE.Skip.to.Item"
"0 to 4892","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
