"CSQ260.Code.or.Value","CSQ260.Value.Description","CSQ260.Count","CSQ260.Cumulative","CSQ260.Skip.to.Item"
"1","Yes",1015,1015,NA
"2","No",2557,3572,NA
"7","Refused",1,3573,NA
"9","Don't know",30,3603,NA
".","Missing",0,3603,NA
