"AUXU1K1R.Code.or.Value","AUXU1K1R.Value.Description","AUXU1K1R.Count","AUXU1K1R.Cumulative","AUXU1K1R.Skip.to.Item"
"-10 to 105","Range of Values",1766,1766,NA
"666","No response",0,1766,NA
"888","Could not obtain",2,1768,NA
".","Missing",121,1889,NA
