"BAXFTC12.Code.or.Value","BAXFTC12.Value.Description","BAXFTC12.Count","BAXFTC12.Cumulative","BAXFTC12.Skip.to.Item"
"0 to 10","Range of Values",5,5,NA
".","Missing",3179,3184,NA
