"LBXVIE.Code.or.Value","LBXVIE.Value.Description","LBXVIE.Count","LBXVIE.Cumulative","LBXVIE.Skip.to.Item"
"312 to 5910","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
