"DR1TNUMF.Code.or.Value","DR1TNUMF.Value.Description","DR1TNUMF.Count","DR1TNUMF.Cumulative","DR1TNUMF.Skip.to.Item"
"1 to 61","Range of Values",8519,8519,NA
".","Missing",819,9338,NA
