"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.07 to 12.67","Range of Values",2494,2494,NA
".","Missing",118,2612,NA
