"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"51.17 to 17213.19","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
