"MCQ240c.Code.or.Value","MCQ240c.Value.Description","MCQ240c.Count","MCQ240c.Cumulative","MCQ240c.Skip.to.Item"
"58 to 59","Range of Values",2,2,NA
"80","80 years or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9768,9770,NA
