"SSGI4ODM.Code.or.Value","SSGI4ODM.Value.Description","SSGI4ODM.Count","SSGI4ODM.Cumulative","SSGI4ODM.Skip.to.Item"
"0.005 to 3.5","Range of Values",1036,1036,NA
".","Missing",0,1036,NA
