"LB2MOPCT.Code.or.Value","LB2MOPCT.Value.Description","LB2MOPCT.Count","LB2MOPCT.Cumulative","LB2MOPCT.Skip.to.Item"
"2.4 to 21.1","Range of Values",551,551,NA
".","Missing",6,557,NA
