"LBXMCVSI.Code.or.Value","LBXMCVSI.Value.Description","LBXMCVSI.Count","LBXMCVSI.Cumulative","LBXMCVSI.Skip.to.Item"
"51.1 to 120.6","Range of Values",7982,7982,NA
".","Missing",850,8832,NA
